row.names.t.stat.desc.C...,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
WW_14,7785,1373,1176,0,52,52,300931,52,38.6552344251766,0.236848747917212,0.464287209349982,436.717709300768,20.897791971899,0.5406199776734
WW_15,7639,1231,1322,0,52,52,303050,52,39.6714229611206,0.228916195512604,0.448738608385048,400.303649074681,20.0075897867455,0.504332547041572
WW_16,7496,1265,1465,0,53,53,300146,53,40.0408217716115,0.242415730946336,0.475202842056215,440.505338030405,20.9882190295033,0.524170536489431
WW_17,7295,1192,1666,0,52,52,294669,52,40.3932830705963,0.233552409600504,0.457830283358076,397.918380980321,19.9478916424849,0.493841800569207
WW_18,7201,1146,1760,0,52,52,284233,52,39.4713234273018,0.239204666632333,0.468911358218297,412.033101151075,20.2985985021399,0.514261918263921
WW_19,6861,1006,2100,0,52,52,254718,43,37.1254919108002,0.213100459919273,0.417742932038055,311.570401088163,17.6513569191766,0.475451125646678
WW_20,1971,415,6990,0,28,28,13347,5,6.7716894977169,0.149858014815604,0.293896879682763,44.2635838954176,6.65308829758163,0.982485729717044
A97,8961,8575,0,0,9,9,535,0,0.059703158129673,0.00351331807371463,0.00688690720882089,0.110609242232213,0.33257967802049,5.57055419577871
A98,8961,8454,0,0,9,9,839,0,0.0936279433098984,0.00529657303896974,0.0103824949175637,0.251389079861941,0.501387155661113,5.35510167089301
A99,8961,8425,0,0,11,11,839,0,0.0936279433098984,0.00483947452095789,0.00948647724629473,0.209871222719084,0.45811704041553,4.8929520848195
A00,8961,8424,0,0,11,11,850,0,0.0948554848789198,0.00520516627511028,0.0102033167481664,0.242787147081799,0.492734357521169,5.19457950323199
A01,8961,8413,0,0,11,11,831,0,0.0927351858051557,0.00499585465700262,0.00979301808992071,0.223653689798651,0.472920384207164,5.09968659793068
A02,8961,8440,0,0,25,25,784,0,0.0874902354647919,0.00537704241968205,0.010540233313715,0.259085675825402,0.509004593128001,5.81784459058676
A03,8961,8515,0,0,60,60,865,0,0.0965294052003125,0.0111865664963702,0.0219282296192303,1.12137299827028,1.05894900645417,10.9702220194634
A04,8961,8562,0,0,30,30,658,0,0.0734293047650932,0.00627122029047198,0.0122930265123679,0.352420035431314,0.593649758217178,8.08464359176919
A05,8961,8566,0,0,19,19,589,0,0.0657292712866868,0.00468230076867113,0.00917838073326919,0.196460430715641,0.443238570879883,6.74339700111143
A06,8961,8572,0,0,13,13,575,0,0.0641669456533869,0.00407932107989538,0.0079964025923001,0.149118750697467,0.386158970758763,6.0180357164683
A07,8961,8634,0,0,11,11,467,0,0.0521147193393595,0.00372931190904817,0.00731030454160114,0.124627502909433,0.353026207114193,6.77402107484
A08,8961,8664,0,0,13,13,404,0,0.0450842539895101,0.00335877219408904,0.00658396192742149,0.101092183190652,0.317949969634613,7.05235068786082
A09,8961,8660,0,0,8,8,448,0,0.0499944202655954,0.00350007675559509,0.00686095119592981,0.109777064701006,0.331326220968106,6.62726398681963
