row.names.t.stat.desc.G...,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
A19,8240,8169,0,0,8,8,106,0,0.0128640776699029,0.00192141519742902,0.00376645790300996,0.0304207316139083,0.174415399589338,13.558329175624
A20,8240,8211,0,0,2,2,31,0,0.0037621359223301,0.000716817143652171,0.00140514220941644,0.00423393297565333,0.0650686789143081,17.2956746533516
A21,8240,8181,0,0,7,7,76,0,0.00922330097087379,0.00145284996316898,0.00284795198507202,0.017392769647556,0.131881650154811,14.2987473325742
I97,8240,8226,0,0,12,12,76,0,0.00922330097087379,0.00311630790135004,0.00610874866554491,0.0800217294727775,0.282881122510459,30.6702690721866
I98,8240,8212,0,0,12,12,131,0,0.0158980582524272,0.00394939139588366,0.00774180221693342,0.12852498535853,0.358503814984625,22.5501636295673
I99,8240,8174,0,0,12,12,315,0,0.0382281553398058,0.00586460398938095,0.0114961014534411,0.283403098806647,0.532356176639895,13.9257615730563
I00,8240,8144,0,0,12,12,498,0,0.0604368932038835,0.00767196442283856,0.0150389832820498,0.484998473987676,0.696418318245346,11.5230661492804
I01,8240,8112,0,0,12,12,667,0,0.0809466019417476,0.00892767260514544,0.0175004877051712,0.656755506312035,0.810404532509558,10.0115942247058
I02,8240,8070,0,0,12,12,982,0,0.119174757281553,0.0112922922329978,0.0221357379607401,1.05073071833348,1.02505156862154,8.60124737824998
I03,8240,8123,0,0,12,12,897,0,0.108859223300971,0.0114183665384947,0.0223828753649517,1.07432373791711,1.03649589382549,9.52143385186405
I04,8240,8081,0,0,12,12,1029,0,0.124878640776699,0.0119399681194235,0.0234053458852955,1.17471779082908,1.08384398823312,8.67917829255677
I05,8240,8040,0,0,12,12,1429,0,0.173422330097087,0.0142103532490562,0.0278558727812125,1.66393730917481,1.28993693999932,7.43812483246634
I06,8240,8007,0,0,12,12,1693,0,0.205461165048544,0.0155601026619151,0.0305017217106619,1.99504238955854,1.41245969484391,6.87458233048658
I07,8240,7980,0,0,12,12,1966,0,0.238592233009709,0.0168454584226926,0.033021342857532,2.33826042843827,1.52913715161141,6.4089980311689
I08,8240,7991,0,0,12,12,1990,0,0.241504854368932,0.0172363652979878,0.0337876188252492,2.44804045876998,1.56462150655357,6.47863377588013
I09,8240,7982,0,0,12,12,1882,0,0.228398058252427,0.0163841094779133,0.0321169826851787,2.21193771748622,1.48725845685483,6.51169483766409
I10,8240,7997,0,0,12,12,1788,0,0.216990291262136,0.0160406144338815,0.0314436458525308,2.12016280607153,1.45607788461728,6.71033655998119
I11,8240,8021,0,0,12,12,1664,0,0.201941747572816,0.0156605083873126,0.0306985422304729,2.02087254910048,1.42157396891631,7.03952494222982
I12,8240,8047,0,0,12,12,1593,0,0.193325242718447,0.0154584222878059,0.0303024025582179,1.96905363373583,1.40322971524118,7.25838848310564
I13,8240,8050,0,0,12,12,1552,0,0.188349514563107,0.0152592515319045,0.0299119776939735,1.91864080026679,1.38515010026596,7.35414743955636
I14,8240,8058,0,0,12,12,1585,0,0.192354368932039,0.0155709682498734,0.0305230210007326,1.99782963044577,1.41344601256849,7.34813573726459
I15,8240,8058,0,0,12,12,1547,0,0.187742718446602,0.015396135989257,0.030180305719527,1.95321786801349,1.397575711013,7.44410074902851
I16,8240,8079,0,0,12,12,1402,0,0.170145631067961,0.0146996212390274,0.0288149613165705,1.78048984406393,1.33434997060888,7.84239925664565
I17,8240,8100,0,0,12,12,1209,0,0.146723300970874,0.0137018586038176,0.0268590951572196,1.54698525659986,1.24377862041436,8.47703542780343
I18,8240,8120,0,0,12,12,974,0,0.118203883495146,0.0117887318599274,0.0231088847114884,1.1451473986498,1.07011560060108,9.05313403383252
I19,8240,8162,0,0,12,12,556,0,0.0674757281553398,0.00881098316709624,0.0172717470057501,0.639699416815831,0.799812113446546,11.8533306021574
I20,8240,8176,0,0,9,9,293,0,0.0355582524271845,0.00486766484965368,0.00954184955272229,0.195239887369685,0.441859578791368,12.426358120276
I21,8240,8194,0,0,12,12,355,0,0.0430825242718447,0.00714075634677521,0.0139976816108084,0.420160905921046,0.648198199566341,15.0455018716244
NHIN_97,8240,7094,0,0,1,1,1146,0,0.139077669902913,0.00381218034401244,0.00747283398383514,0.119749604356264,0.346048557801162,2.48816764073436
NHIN_02,8240,5915,0,0,1,1,2325,0,0.282160194174757,0.00495820398387602,0.00971932906786285,0.202570402784766,0.450078218518477,1.59511592283538
NHIN_03,8240,5558,0,0,1,1,2682,0,0.325485436893204,0.00516207362972613,0.0101189649403299,0.219571314267803,0.4685843726244,1.43964773692209
NHIN_04,8240,5506,0,0,1,1,2734,0,0.331796116504854,0.00518743771850827,0.0101686849450295,0.221734363087235,0.470886783725382,1.41920522966245
NHIN_05,8240,5506,0,0,1,1,2734,0,0.331796116504854,0.00518743771850827,0.0101686849450295,0.221734363087235,0.470886783725382,1.41920522966245
NHIN_06,8240,5550,0,0,1,1,2690,0,0.326456310679612,0.00516604480447503,0.0101267494434072,0.21990927591599,0.468944853811182,1.43647048156288
NHIN_07,8240,5627,0,0,1,1,2613,0,0.317111650485437,0.00512676840631661,0.0100497578070116,0.216578135366131,0.465379560537558,1.46755743544948
NHIN_08,8240,5520,0,0,1,1,2720,0,0.330097087378641,0.00518071292547314,0.0101555026563149,0.221159840069195,0.47027634436488,1.42466069028184
NHIN_09,8240,5474,0,0,1,1,2766,0,0.335679611650485,0.00520252314882412,0.0101982561893444,0.223025876219779,0.472256155301102,1.40686576994978
NHIN_10,8240,5525,0,0,1,1,2715,0,0.329490291262136,0.00517829269973725,0.0101507584040771,0.220953253941413,0.470056649715131,1.42661760355531
NHIN_11,8240,5583,0,0,1,1,2657,0,0.32245145631068,0.00514950077691641,0.0100943189809912,0.218503031992053,0.467443078879186,1.44965410988502
NHIN_13,8240,6041,0,0,1,1,2199,0,0.266868932038835,0.00487306909673632,0.00955244323864788,0.195673651953708,0.442350146324954,1.65755580069014
NHIN_15,8240,6533,0,0,1,1,1707,0,0.207160194174757,0.00446486802731087,0.00875226629302371,0.164264783170735,0.405295920496044,1.95643724949467
NHIN_17,8240,6689,0,0,1,1,1551,0,0.188228155339806,0.00430647602501127,0.00844177806037458,0.152816862612934,0.390917974277129,2.07683050163994
NHIN_19,8240,6639,0,0,1,1,1601,0,0.194296116504854,0.00435895652146944,0.00854465305631678,0.156564136117943,0.395681862255452,2.03648878512487
NHIN_21,8240,6856,0,0,1,1,1384,0,0.167961165048544,0.00411849920409696,0.00807329612910708,0.139767174119774,0.373854482546049,2.22583882671925
Valid_Insurance,8240,0,0,5,16,11,115718,15,14.0434466019417,0.031265136966657,0.0612875459579602,8.0546724258411,2.83807547923608,0.202092517576395
