row.names.t.stat.desc.L.L.Classification....3....,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
NHIN_97,2352,1918,0,0,1,1,434,0,0.18452380952381,0.00800028639541142,0.0156883499588655,0.150538777825039,0.38799327033473,2.10267320697531
Wave_Outcome,2352,0,0,1,19,18,20160,7.5,8.57142857142857,0.113154454572833,0.221892891704642,30.1148447469162,5.48769940384094,0.640231597114776
Ex_Medicare,2352,0,0,265.4,804.5,539.1,1144281.6,482.8,486.514285714286,3.2271591267138,6.32837366695661,24495.0357805189,156.508900004182,0.321694356362835
Ex_Medicaid,2352,0,0,248.1,615.1,367,916372.8,359.55,389.614285714286,2.32200359801779,4.55338762276578,12681.2800680562,112.611189799487,0.289032496827049
Ex_Medicaid_Feds,2352,0,0,145.3,387.7,242.4,559188,225.25,237.75,1.56441926544234,3.06778478989545,5756.30276478094,75.8703022583998,0.319117990571608
Ex_Medicaid_State,2352,0,0,102.8,227.4,124.6,357168,136.5,151.857142857143,0.802227225017996,1.57314636383897,1513.67316035729,38.9059527624925,0.256201005961851
PC_Medicare,2352,0,0,3.6,18.8,15.2,17203.2,6.9,7.31428571428571,0.0758571250626648,0.148753815305797,13.5341216503615,3.67887505228997,0.50297119855527
PC_Medicaid,2352,0,0,-0.9,10.7,11.6,13725.6,6.15,5.83571428571429,0.0632061837020249,0.123945654001892,9.39629094002552,3.06533700268429,0.525271946604408
PC_Medicaid_Feds,2352,0,0,-7.2,21.8,29,15103.2,6.95,6.42142857142857,0.136462344787461,0.267599047761709,43.7988770735857,6.6180720057722,1.03062300423594
PC_Medicaid_State,2352,0,0,-9.9,21.8,31.7,12616.8,4.9,5.36428571428572,0.142285802259872,0.279018693794651,47.6168268821778,6.90049468387432,1.28637717142797
