row.names.t.stat.desc.G.G.Classification....2....,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
GH03,1237,0,0,1,5,4,2751,2,2.22392886014551,0.0276508135991339,0.054247720495416,0.945769988462535,0.97250706345123,0.437292343689266
GH04,1237,0,0,1,5,4,2727,2,2.20452708164915,0.0274166286254181,0.0537882764738932,0.929817676652722,0.964270541213783,0.43740471561476
GH05,1237,0,0,1,5,4,2759,2,2.2303961196443,0.0270574188886905,0.0530835482268431,0.905612545227649,0.951636771687417,0.426667157150176
GH06,1237,0,0,1,5,4,2794,2,2.2586903799515,0.0275114643598588,0.0539743332926728,0.93626139030382,0.967606009853091,0.428392496130377
GH07,1237,0,0,1,5,4,2807,2,2.26919967663703,0.0279611249300771,0.0548565156864585,0.967116915598601,0.983421026620135,0.433377915899219
GH08,1237,0,0,1,5,4,2916,2,2.357316087308,0.0281093820090859,0.0551473790476651,0.977399910525779,0.988635377945671,0.419390247777364
GH09,1237,0,0,1,5,4,2932,2,2.37025060630558,0.0283221651947333,0.0555648352190626,0.992253416110069,0.996119177664033,0.420259011858939
GH10,1237,0,0,1,5,4,2986,2,2.41390460792239,0.0284104242962776,0.0557379894394471,0.998447282155125,0.999223339476778,0.413944832864292
GH11,1237,0,0,1,5,4,2987,2,2.41471301535974,0.0286644977403894,0.0562364523556311,1.01638529378677,1.00815935932112,0.417506905751666
GH13,1237,0,0,1,5,4,2970,2,2.40097008892482,0.0284913218146409,0.0558967010791321,1.0041414529881,1.00206858696803,0.41735987948803
GH15,1237,0,0,1,5,4,3001,2,2.42603071948262,0.0288717252117184,0.056643008853628,1.03113415115911,1.01544775895125,0.418563438128188
GH17,1237,0,0,1,5,4,3018,2,2.43977364591754,0.0281871857183808,0.055300020989292,0.982818071699722,0.991371813044794,0.406337618534265
GH19,1237,0,0,1,5,4,3031,2,2.45028294260307,0.0281805633072521,0.055287028579263,0.982356311464473,0.99113889615153,0.404499773850031
GH21,1237,0,0,1,5,4,3124,3,2.52546483427648,0.0288939857456926,0.0566866814645903,1.03272480398082,1.01623068443185,0.402393520051919
WW_97,1237,874,0,0,52,52,9447,0,7.63702506063056,0.421397981277937,0.826734440335388,219.661831919274,14.8209929464687,1.94067622258725
