row.names.t.stat.desc.G.G.Classification....4....,nbr.val,nbr.null,nbr.na,min,max,range,sum,median,mean,SE.mean,CI.mean.0.95,var,std.dev,coef.var
A06,103,82,0,0,5,5,32,0,0.310679611650485,0.0756079820839394,0.149968073973001,0.588806396344946,0.767337211625336,2.46986664991905
A07,103,86,0,0,9,9,30,0,0.29126213592233,0.10009615400159,0.198540246862533,1.03198172472873,1.01586501304491,3.48780321145418
A08,103,83,0,0,3,3,31,0,0.300970873786408,0.0701294002038434,0.139101332790182,0.506567675613935,0.711735678193762,2.36479918883734
A09,103,91,0,0,2,2,15,0,0.145631067961165,0.0423194072188415,0.0839403435637638,0.184466019417476,0.429495074963003,2.94919951474596
A10,103,83,0,0,4,4,30,0,0.29126213592233,0.0698521295324759,0.138551367728186,0.502569960022844,0.708921688215873,2.4339644628745
A11,103,89,0,0,2,2,16,0,0.155339805825243,0.0408301481760203,0.0809864053135562,0.171711403007805,0.414380746425078,2.66757605511144
A12,103,96,0,0,1,1,7,0,0.0679611650485437,0.0249199591425145,0.0494286208027581,0.0639634494574529,0.252909963143908,3.72138945768893
A13,103,95,0,0,3,3,15,0,0.145631067961165,0.0541584405420938,0.107423010026403,0.302113078241005,0.549648140396204,3.77425056405393
A14,103,96,0,0,2,2,10,0,0.0970873786407767,0.0378223202508246,0.0750203928853573,0.147344374643061,0.38385462696581,3.95370265774784
A15,103,99,0,0,1,1,4,0,0.0388349514563107,0.0191297935173549,0.0379438547389604,0.0376927470017133,0.194146200070239,4.99926465180866
A16,103,100,0,0,2,2,4,0,0.0388349514563107,0.0235863606585712,0.0467834345330301,0.0573005901389682,0.239375416738996,6.16391698102916
A17,103,100,0,0,1,1,3,0,0.029126213592233,0.0166503480720882,0.0330258864544086,0.0285551113649343,0.168982577104666,5.80173514726019
A18,103,102,0,0,1,1,1,0,0.00970873786407767,0.00970873786407767,0.019257235520028,0.00970873786407767,0.0985329278164293,10.1488915650922
A19,103,98,0,0,2,2,6,0,0.058252427184466,0.0269852097543756,0.0535250355991287,0.0750047591852275,0.273869967658426,4.70143444480299
A20,103,103,0,0,0,0,0,0,0,0,0,0,0,
A21,103,100,0,0,1,1,3,0,0.029126213592233,0.0166503480720882,0.0330258864544086,0.0285551113649343,0.168982577104666,5.80173514726019
I97,103,89,0,0,12,12,76,0,0.737864077669903,0.239757303619674,0.475557474935444,5.92080715781458,2.43327087637496,3.29772237192923
I98,103,83,0,0,12,12,100,0,0.970873786407767,0.268058538219466,0.531692839575608,7.40110413097278,2.72049703748649,2.80211194861109
I99,103,64,0,0,12,12,194,0,1.88349514563107,0.337204149259608,0.668842831224161,11.7117837426233,3.42224834613493,1.81696690542215
I00,103,63,0,0,12,12,212,0,2.05825242718447,0.355486556076596,0.705105898460775,13.0161812297735,3.60779451046945,1.75284355933185
